candidate,c2_feature_groups,n_feature_groups,recency_half_life_days,model,WAPE,MAE,RMSE,BiasRatio,Coverage,test_aligned_WAPE,elapsed_seconds,n_oof_rows
control,,0,365.0,NeuralNet,0.2952972777888373,13.608010470306013,20.570464174727277,0.04477969189177765,1.0,0.28549500772781483,59.02628241699858,826
control,,0,365.0,XGBoost,0.2933478300361119,13.518175218084789,21.627296693071717,0.010499795740347241,1.0,0.2791109782084227,59.02628241699858,826
control,,0,365.0,LightGBM,0.29462501017445636,13.57703075791637,21.00971084871777,0.01810965833144657,1.0,0.278077905116806,59.02628241699858,826
control,,0,365.0,DynamicRidge,0.4302483381320427,19.826880674190626,32.50537840685279,0.19533439884274248,1.0,0.39464200273536526,59.02628241699858,826
control,,0,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,59.02628241699858,826
control,,0,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,59.02628241699858,826
single_price,price,1,365.0,NeuralNet,0.3117311631459815,14.365323526770231,21.854308057077677,0.046667867796853085,1.0,0.3004868244870604,58.59686870799487,826
single_price,price,1,365.0,XGBoost,0.29451369592062576,13.571901128740768,21.44614237510539,-0.013374045524230615,1.0,0.28056398169523455,58.59686870799487,826
single_price,price,1,365.0,LightGBM,0.2886791106172768,13.303029371803538,20.48684922975028,0.0022343679787271667,1.0,0.27208286636397183,58.59686870799487,826
single_price,price,1,365.0,DynamicRidge,0.4397709119603104,20.26570383344776,34.49244414712129,0.21423662769115132,1.0,0.3883592927759708,58.59686870799487,826
single_price,price,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,58.59686870799487,826
single_price,price,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,58.59686870799487,826
single_campaign,campaign,1,365.0,NeuralNet,0.33442564823467985,15.411140112069226,23.98603580935256,0.03657023503976917,1.0,0.3312850705241694,57.91048162500374,826
single_campaign,campaign,1,365.0,XGBoost,0.30215206306607195,13.92389550156259,21.994292709146897,0.012129483492785201,1.0,0.29222814338596503,57.91048162500374,826
single_campaign,campaign,1,365.0,LightGBM,0.29912676568599594,13.78448250482883,21.607053784267414,0.01407107295841078,1.0,0.28255143350679923,57.91048162500374,826
single_campaign,campaign,1,365.0,DynamicRidge,0.4314077901144968,19.880311016776904,32.60932701702964,0.20004904675464613,1.0,0.39454910034906293,57.91048162500374,826
single_campaign,campaign,1,365.0,SeasonalNaive,0.5504337381556119,25.365313653136532,38.54854290244443,0.2947284131856399,1.0,0.6160467728032073,57.91048162500374,826
single_campaign,campaign,1,365.0,MovingAvg28,0.4444305080765778,20.480429255952014,31.616861817439048,0.009393574133998524,1.0,0.43846176962534256,57.91048162500374,826
single_lifecycle,lifecycle,1,365.0,NeuralNet,0.2998983534329654,13.820039128371523,21.34833977675041,0.008034537616521027,1.0,0.29541250868954,57.93695483299962,826
