ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,pred_XGBoost,pred_LightGBM,pred_DynamicRidge,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,fallback_XGBoost,nonfinite_XGBoost,catastrophic_XGBoost,residual_guard_XGBoost,residual_nonfinite_XGBoost,residual_raw_min_XGBoost,residual_raw_max_XGBoost,safety_limit_XGBoost,fallback_LightGBM,nonfinite_LightGBM,catastrophic_LightGBM,residual_guard_LightGBM,residual_nonfinite_LightGBM,residual_raw_min_LightGBM,residual_raw_max_LightGBM,safety_limit_LightGBM,fallback_DynamicRidge,nonfinite_DynamicRidge,catastrophic_DynamicRidge,residual_guard_DynamicRidge,residual_nonfinite_DynamicRidge,residual_raw_min_DynamicRidge,residual_raw_max_DynamicRidge,safety_limit_DynamicRidge,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
20,1,2024-11-30,2024-11-29,development,direct,holiday_event,8.741524700283307,11.166579,12.277406,8.54506,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,8.741524700283307,22.0,True,12.9,16.0,24.357142857142858
21,1,2024-11-30,2024-11-29,development,direct,holiday_event,28.07642141613492,30.512375,30.842743,22.281288,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,28.07642141613492,27.0,True,15.6,26.0,22.035714285714285
22,1,2024-11-30,2024-11-29,development,direct,holiday_event,42.24440823510228,58.128967,54.63636,44.039513,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,42.24440823510228,49.0,True,27.9,34.0,45.42857142857143
23,1,2024-11-30,2024-11-29,development,direct,holiday_event,13.642316608364544,15.067935,15.371568,12.294779,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,13.642316608364544,22.0,True,21.7,23.0,35.785714285714285
24,1,2024-11-30,2024-11-29,development,direct,holiday_event,77.54756762480396,81.96971,83.5071,84.475,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,77.54756762480396,109.0,True,70.9,78.0,94.71428571428571
25,1,2024-11-30,2024-11-29,development,direct,holiday_event,118.39016805501362,128.97641,128.71628,107.92195,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,118.39016805501362,144.0,True,99.4,156.0,134.46428571428572
26,1,2024-11-30,2024-11-29,development,direct,holiday_event,269.97715249308624,139.97313,183.55444,189.14795,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,269.97715249308624,226.0,True,136.5,219.0,157.32142857142858
27,1,2024-11-30,2024-11-29,development,direct,holiday_event,120.806544675428,93.49868,70.70367,91.520096,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,120.806544675428,118.0,True,72.4,108.0,85.21428571428571
28,1,2024-11-30,2024-11-29,development,direct,holiday_event,102.62416489851392,83.00452,81.77499,90.406204,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,102.62416489851392,91.0,True,58.5,83.0,72.35714285714286
29,1,2024-11-30,2024-11-29,development,direct,holiday_event,87.96622578038865,86.0151,89.62563,70.07399,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,87.96622578038865,88.0,True,75.8,97.0,92.85714285714286
