fold,model,regime,comparison_population,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy
3,NeuralNet,realized,common,13.148947578463845,24.21814650997419,30.530218210382632,0.22526341911220488,0.26936875554026113,0.3202100446156988,1.9559593529127006,0.033508848434627765,210,direct
3,Ensemble,realized,common,11.664632497093962,17.700134552387873,30.89905051676895,0.19983462427718485,0.26410657209814686,0.31539107725383836,3.374459910778309,0.05781013063007382,210,direct
3,XGBoost,realized,common,12.728204806645712,20.810105237616362,33.081428664171995,0.21805539316328923,0.27538118063194644,0.3431378801549031,0.07928424108596076,0.0013582713842430869,210,direct
3,LightGBM,realized,common,15.133089494137536,21.862805858575552,38.413943993665946,0.2592550818868398,0.31701720458782834,0.37186773803461076,6.796137137072427,0.11642917268601809,210,direct
3,DynamicRidge,realized,common,23.438321342922393,69.56408839530448,49.71659631708011,0.40153756583567485,0.35546318027851437,0.4875324343385812,8.956183117911928,0.15343436570088964,210,direct
3,SeasonalNaive,realized,common,28.80952380952381,45.18965326161246,68.78794794314264,0.4935552292380486,0.45622282282860344,0.576641301927364,12.685714285714285,0.2173274596182085,210,direct
3,MovingAvg28,realized,common,37.012736205593356,47.921559895628064,187.80261831969878,0.6340899496797687,0.6413502002578965,0.9356853160390629,21.215608465608465,0.36345878428599915,210,direct
3,NeuralNet,conditional,common,13.148947578463845,24.21814650997419,30.530218210382632,0.22526341911220488,0.26936875554026113,0.3202100446156988,1.9559593529127006,0.033508848434627765,210,direct
3,Ensemble,conditional,common,11.664632497093962,17.700134552387873,30.89905051676895,0.19983462427718485,0.26410657209814686,0.31539107725383836,3.374459910778309,0.05781013063007382,210,direct
3,XGBoost,conditional,common,12.728204806645712,20.810105237616362,33.081428664171995,0.21805539316328923,0.27538118063194644,0.3431378801549031,0.07928424108596076,0.0013582713842430869,210,direct
3,LightGBM,conditional,common,15.133089494137536,21.862805858575552,38.413943993665946,0.2592550818868398,0.31701720458782834,0.37186773803461076,6.796137137072427,0.11642917268601809,210,direct
3,DynamicRidge,conditional,common,23.438321342922393,69.56408839530448,49.71659631708011,0.40153756583567485,0.35546318027851437,0.4875324343385812,8.956183117911928,0.15343436570088964,210,direct
