origin_type,strategy,origin,validation_stratum,ProductId,DateKey,horizon,actual,model,prediction,absolute_error,signed_error
development,direct,2022-11-20,holiday_event,8,2022-11-22,2,145.0,NeuralNet,95.17767698211439,49.82232301788561,-49.82232301788561
development,direct,2024-12-20,holiday_event,6,2024-12-24,4,4.0,NeuralNet,53.516299438258976,49.516299438258976,49.516299438258976
development,direct,2023-11-24,holiday_event,29,2023-11-26,2,194.0,NeuralNet,144.5114466635992,49.4885533364008,-49.4885533364008
development,direct,2022-11-20,holiday_event,25,2022-11-21,1,90.0,NeuralNet,40.52890299576358,49.47109700423642,-49.47109700423642
development,direct,2023-12-18,holiday_event,16,2023-12-25,7,21.0,NeuralNet,70.38096946893347,49.38096946893347,49.38096946893347
development,direct,2024-11-29,holiday_event,2,2024-12-01,2,205.0,NeuralNet,155.9392183534059,49.06078164659411,-49.06078164659411
development,direct,2024-06-20,regular,25,2024-06-26,6,38.0,NeuralNet,86.73036293891228,48.73036293891228,48.73036293891228
development,direct,2025-02-10,winter_test_like,28,2025-02-15,5,43.0,NeuralNet,91.62498078816486,48.62498078816486,48.62498078816486
development,direct,2023-12-18,holiday_event,3,2023-12-21,3,18.0,NeuralNet,66.29262980511406,48.29262980511406,48.29262980511406
development,direct,2024-11-29,holiday_event,18,2024-12-05,6,73.0,NeuralNet,24.801865205792996,48.19813479420701,-48.19813479420701
development,direct,2024-12-20,holiday_event,24,2024-12-24,4,11.0,NeuralNet,59.0236116430813,48.0236116430813,48.0236116430813
development,direct,2023-01-10,winter_test_like,19,2023-01-11,1,74.0,NeuralNet,121.8109558907945,47.8109558907945,47.8109558907945
development,direct,2023-01-10,winter_test_like,19,2023-01-17,7,5.0,NeuralNet,52.084874709315464,47.084874709315464,47.084874709315464
development,direct,2022-11-20,holiday_event,15,2022-11-26,6,90.0,NeuralNet,44.636118117710595,45.363881882289405,-45.363881882289405
development,direct,2023-12-18,holiday_event,24,2023-12-24,6,28.0,NeuralNet,72.6366276171265,44.63662761712651,44.63662761712651
development,direct,2024-11-29,holiday_event,27,2024-12-06,7,130.0,NeuralNet,85.94075893783533,44.05924106216467,-44.05924106216467
development,direct,2024-11-29,holiday_event,26,2024-12-01,2,361.0,Ensemble,213.5403186532979,147.4596813467021,-147.4596813467021
development,direct,2022-11-20,holiday_event,25,2022-11-27,7,199.0,Ensemble,52.91655934963728,146.08344065036272,-146.08344065036272
development,direct,2024-11-29,holiday_event,3,2024-12-01,2,334.0,Ensemble,189.69595224182825,144.30404775817175,-144.30404775817175
development,direct,2022-11-20,holiday_event,4,2022-11-25,5,359.0,Ensemble,219.67653919454312,139.32346080545688,-139.32346080545688
development,direct,2022-11-20,holiday_event,4,2022-11-27,7,416.0,Ensemble,280.753934986084,135.246065013916,-135.246065013916
development,direct,2024-11-29,holiday_event,3,2024-12-05,6,202.0,Ensemble,84.8422156769632,117.1577843230368,-117.1577843230368
development,direct,2024-11-29,holiday_event,25,2024-12-01,2,258.0,Ensemble,142.0348904762626,115.9651095237374,-115.9651095237374
development,direct,2024-11-29,holiday_event,3,2024-12-02,3,208.0,Ensemble,95.0952626649631,112.9047373350369,-112.9047373350369
development,direct,2023-11-24,holiday_event,5,2023-12-01,7,80.0,Ensemble,183.72492499781285,103.72492499781285,103.72492499781285
development,direct,2022-11-20,holiday_event,25,2022-11-25,5,139.0,Ensemble,44.96526757727153,94.03473242272847,-94.03473242272847
development,direct,2024-11-29,holiday_event,1,2024-12-01,2,300.0,Ensemble,210.5970044617348,89.4029955382652,-89.4029955382652
development,direct,2024-11-29,holiday_event,11,2024-12-01,2,232.0,Ensemble,143.89716973246584,88.10283026753416,-88.10283026753416
development,direct,2023-11-24,holiday_event,5,2023-11-26,2,445.0,Ensemble,356.9037843709168,88.09621562908319,-88.09621562908319
development,direct,2022-11-20,holiday_event,3,2022-11-21,1,178.0,Ensemble,265.5029374763053,87.5029374763053,87.5029374763053
development,direct,2022-11-20,holiday_event,25,2022-11-26,6,128.0,Ensemble,42.65918706145239,85.3408129385476,-85.3408129385476
development,direct,2024-11-29,holiday_event,3,2024-12-04,5,172.0,Ensemble,87.49853916650486,84.50146083349514,-84.50146083349514
development,direct,2024-11-29,holiday_event,3,2024-12-03,4,175.0,Ensemble,95.57283114881628,79.42716885118372,-79.42716885118372
development,direct,2022-11-20,holiday_event,22,2022-11-27,7,221.0,Ensemble,141.87961955877188,79.12038044122812,-79.12038044122812
development,direct,2024-11-29,holiday_event,27,2024-12-01,2,176.0,Ensemble,97.65855298943174,78.34144701056826,-78.34144701056826
development,direct,2022-11-20,holiday_event,15,2022-11-27,7,148.0,Ensemble,70.1108715060212,77.8891284939788,-77.8891284939788
development,direct,2022-11-20,holiday_event,3,2022-11-24,4,162.0,Ensemble,237.62526363703356,75.62526363703356,75.62526363703356
development,direct,2024-11-29,holiday_event,2,2024-12-02,3,168.0,Ensemble,93.87035957173559,74.12964042826441,-74.12964042826441
development,direct,2024-11-29,holiday_event,8,2024-12-01,2,208.0,Ensemble,135.0267035874735,72.97329641252651,-72.97329641252651
development,direct,2022-11-20,holiday_event,27,2022-11-23,3,75.0,Ensemble,4.859867753589706,70.14013224641029,-70.14013224641029
development,direct,2024-11-29,holiday_event,24,2024-12-01,2,186.0,Ensemble,116.64392925959093,69.35607074040907,-69.35607074040907
development,direct,2022-11-20,holiday_event,13,2022-11-27,7,234.0,Ensemble,166.17760663104963,67.82239336895037,-67.82239336895037
development,direct,2024-11-29,holiday_event,6,2024-12-01,2,137.0,Ensemble,70.70787659922989,66.29212340077011,-66.29212340077011
development,direct,2023-11-24,holiday_event,5,2023-11-25,1,203.0,Ensemble,268.0666869623689,65.06668696236892,65.06668696236892
development,direct,2024-11-29,holiday_event,3,2024-12-06,7,217.0,Ensemble,151.98426051550823,65.01573948449177,-65.01573948449177
development,direct,2024-11-29,holiday_event,4,2024-12-04,5,125.0,Ensemble,62.41074019988595,62.58925980011405,-62.58925980011405
development,direct,2023-11-24,holiday_event,1,2023-12-01,7,26.0,Ensemble,86.73789565238357,60.73789565238357,60.73789565238357
development,direct,2023-11-24,holiday_event,19,2023-11-26,2,179.0,Ensemble,118.83565828046345,60.16434171953655,-60.16434171953655
development,direct,2024-11-29,holiday_event,4,2024-12-05,6,123.0,Ensemble,62.87457427586602,60.12542572413398,-60.12542572413398
development,direct,2022-11-20,holiday_event,3,2022-11-22,2,157.0,Ensemble,216.3129778067359,59.31297780673589,59.31297780673589
development,direct,2024-06-20,regular,25,2024-06-25,5,20.0,Ensemble,79.02378688428244,59.023786884282444,59.023786884282444
development,direct,2022-11-20,holiday_event,5,2022-11-24,4,173.0,Ensemble,230.82338914871997,57.82338914871997,57.82338914871997
development,direct,2024-11-29,holiday_event,28,2024-12-01,2,151.0,Ensemble,94.10297496906787,56.89702503093213,-56.89702503093213
development,direct,2023-11-24,holiday_event,11,2023-11-26,2,308.0,Ensemble,251.83870601163375,56.16129398836625,-56.16129398836625
development,direct,2022-11-20,holiday_event,27,2022-11-22,2,58.0,Ensemble,1.882548086081043,56.117451913918956,-56.117451913918956
development,direct,2022-11-20,holiday_event,1,2022-11-25,5,346.0,Ensemble,289.95524569668447,56.04475430331553,-56.04475430331553
development,direct,2024-11-29,holiday_event,13,2024-12-01,2,164.0,Ensemble,108.2568539384757,55.7431460615243,-55.7431460615243
development,direct,2023-11-24,holiday_event,5,2023-11-27,3,98.0,Ensemble,153.4053972831629,55.4053972831629,55.4053972831629
development,direct,2022-11-20,holiday_event,27,2022-11-24,4,57.0,Ensemble,1.8926874041116917,55.10731259588831,-55.10731259588831
development,direct,2022-11-20,holiday_event,3,2022-11-23,3,177.0,Ensemble,231.8836023814382,54.88360238143821,54.88360238143821
development,direct,2022-11-20,holiday_event,9,2022-11-21,1,56.0,Ensemble,110.08030258625129,54.08030258625129,54.08030258625129
