ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_XGBoost,pred_LightGBM,fallback_XGBoost,nonfinite_XGBoost,catastrophic_XGBoost,residual_guard_XGBoost,residual_nonfinite_XGBoost,residual_raw_min_XGBoost,residual_raw_max_XGBoost,safety_limit_XGBoost,fallback_LightGBM,nonfinite_LightGBM,catastrophic_LightGBM,residual_guard_LightGBM,residual_nonfinite_LightGBM,residual_raw_min_LightGBM,residual_raw_max_LightGBM,safety_limit_LightGBM,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
6,2,2023-01-12,2023-01-10,development,direct,winter_test_like,22.617256,20.354086,False,False,False,False,False,,,,False,False,False,False,False,,,,26.0,True,13.5,21.0,17.0
7,2,2023-01-12,2023-01-10,development,direct,winter_test_like,12.282254,11.6414585,False,False,False,False,False,,,,False,False,False,False,False,,,,18.0,True,13.8,21.0,14.892857142857142
8,2,2023-01-12,2023-01-10,development,direct,winter_test_like,18.277626,18.46029,False,False,False,False,False,,,,False,False,False,False,False,,,,27.0,True,17.5,13.0,20.821428571428573
9,2,2023-01-12,2023-01-10,development,direct,winter_test_like,28.985472,30.180058,False,False,False,False,False,,,,False,False,False,False,False,,,,44.0,True,46.5,81.0,38.392857142857146
10,2,2023-01-12,2023-01-10,development,direct,winter_test_like,36.00993,39.743664,False,False,False,False,False,,,,False,False,False,False,False,,,,44.0,True,41.8,89.0,32.142857142857146
11,2,2023-01-12,2023-01-10,development,direct,winter_test_like,52.715473,42.00818,False,False,False,False,False,,,,False,False,False,False,False,,,,45.0,True,61.7,33.0,74.64285714285714
12,2,2023-01-12,2023-01-10,development,direct,winter_test_like,16.03043,15.876958,False,False,False,False,False,,,,False,False,False,False,False,,,,21.0,True,22.1,34.0,26.785714285714285
13,2,2023-01-12,2023-01-10,development,direct,winter_test_like,38.300358,33.14642,False,False,False,False,False,,,,False,False,False,False,False,,,,50.0,True,31.3,41.0,40.42857142857143
14,2,2023-01-12,2023-01-10,development,direct,winter_test_like,32.85522,29.950668,False,False,False,False,False,,,,False,False,False,False,False,,,,32.0,True,20.0,36.0,24.607142857142858
15,2,2023-01-12,2023-01-10,development,direct,winter_test_like,43.233414,40.720383,False,False,False,False,False,,,,False,False,False,False,False,,,,45.0,True,37.7,48.0,32.17857142857143
16,2,2023-01-12,2023-01-10,development,direct,winter_test_like,44.76482,43.97648,False,False,False,False,False,,,,False,False,False,False,False,,,,46.0,True,62.3,47.0,70.89285714285714
17,2,2023-01-12,2023-01-10,development,direct,winter_test_like,16.531673,15.726981,False,False,False,False,False,,,,False,False,False,False,False,,,,20.0,True,11.1,13.0,17.392857142857142
18,2,2023-01-12,2023-01-10,development,direct,winter_test_like,24.07127,24.23818,False,False,False,False,False,,,,False,False,False,False,False,,,,19.0,True,38.8,73.0,35.285714285714285
19,2,2023-01-12,2023-01-10,development,direct,winter_test_like,44.216827,52.649403,False,False,False,False,False,,,,False,False,False,False,False,,,,58.0,True,44.8,105.0,38.607142857142854
20,2,2023-01-12,2023-01-10,development,direct,winter_test_like,37.29735,37.421803,False,False,False,False,False,,,,False,False,False,False,False,,,,36.0,True,46.7,68.0,40.5
21,2,2023-01-12,2023-01-10,development,direct,winter_test_like,22.86654,20.663584,False,False,False,False,False,,,,False,False,False,False,False,,,,25.0,True,20.5,29.0,20.5
22,2,2023-01-12,2023-01-10,development,direct,winter_test_like,7.579609,5.899526,False,False,False,False,False,,,,False,False,False,False,False,,,,3.0,True,10.8,7.0,17.428571428571427
23,2,2023-01-12,2023-01-10,development,direct,winter_test_like,28.533695,29.496449,False,False,False,False,False,,,,False,False,False,False,False,,,,26.0,True,30.9,39.0,37.785714285714285
24,2,2023-01-12,2023-01-10,development,direct,winter_test_like,3.4882808,9.530278,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,,,
25,2,2023-01-12,2023-01-10,development,direct,winter_test_like,31.195988,27.279543,False,False,False,False,False,,,,False,False,False,False,False,,,,37.0,True,31.1,56.0,30.678571428571427
26,2,2023-01-12,2023-01-10,development,direct,winter_test_like,1.6777698,2.1395762,False,False,False,False,False,,,,False,False,False,False,False,,,,1.0,False,2.857142857142857,0.0,5.454545454545454
27,2,2023-01-12,2023-01-10,development,direct,winter_test_like,19.55393,15.850537,False,False,False,False,False,,,,False,False,False,False,False,,,,21.0,True,27.666666666666668,38.0,26.416666666666668
28,2,2023-01-12,2023-01-10,development,direct,winter_test_like,13.998966,13.463797,False,False,False,False,False,,,,False,False,False,False,False,,,,11.0,True,4.5,7.0,5.107142857142857
1,3,2023-01-13,2023-01-10,development,direct,winter_test_like,58.27913,54.619953,False,False,False,False,False,,,,False,False,False,False,False,,,,45.0,True,75.8,68.0,81.92857142857143
2,3,2023-01-13,2023-01-10,development,direct,winter_test_like,63.4826,52.97347,False,False,False,False,False,,,,False,False,False,False,False,,,,46.0,True,77.5,120.0,67.25
3,3,2023-01-13,2023-01-10,development,direct,winter_test_like,12.341637,13.292252,False,False,False,False,False,,,,False,False,False,False,False,,,,4.0,True,30.6,13.0,54.67857142857143
4,3,2023-01-13,2023-01-10,development,direct,winter_test_like,71.52408,67.473656,False,False,False,False,False,,,,False,False,False,False,False,,,,47.0,True,78.3,81.0,95.82142857142857
5,3,2023-01-13,2023-01-10,development,direct,winter_test_like,79.96858,79.23339,False,False,False,False,False,,,,False,False,False,False,False,,,,61.0,True,99.1,143.0,116.03571428571429
6,3,2023-01-13,2023-01-10,development,direct,winter_test_like,13.071302,13.685597,False,False,False,False,False,,,,False,False,False,False,False,,,,18.0,True,10.6,13.0,17.0
7,3,2023-01-13,2023-01-10,development,direct,winter_test_like,10.968692,9.602842,False,False,False,False,False,,,,False,False,False,False,False,,,,10.0,True,19.3,34.0,14.892857142857142
8,3,2023-01-13,2023-01-10,development,direct,winter_test_like,14.71208,14.055582,False,False,False,False,False,,,,False,False,False,False,False,,,,22.0,True,13.5,10.0,20.821428571428573
9,3,2023-01-13,2023-01-10,development,direct,winter_test_like,27.526209,26.08086,False,False,False,False,False,,,,False,False,False,False,False,,,,33.0,True,24.5,36.0,38.392857142857146
10,3,2023-01-13,2023-01-10,development,direct,winter_test_like,34.598454,33.744816,False,False,False,False,False,,,,False,False,False,False,False,,,,28.0,True,31.0,63.0,32.142857142857146
11,3,2023-01-13,2023-01-10,development,direct,winter_test_like,46.275837,40.850193,False,False,False,False,False,,,,False,False,False,False,False,,,,29.0,True,51.8,50.0,74.64285714285714
12,3,2023-01-13,2023-01-10,development,direct,winter_test_like,15.857673,14.879788,False,False,False,False,False,,,,False,False,False,False,False,,,,22.0,True,26.7,42.0,26.785714285714285
13,3,2023-01-13,2023-01-10,development,direct,winter_test_like,29.250313,27.102041,False,False,False,False,False,,,,False,False,False,False,False,,,,28.0,True,27.1,36.0,40.42857142857143
14,3,2023-01-13,2023-01-10,development,direct,winter_test_like,28.172434,26.88609,False,False,False,False,False,,,,False,False,False,False,False,,,,41.0,True,19.8,35.0,24.607142857142858
15,3,2023-01-13,2023-01-10,development,direct,winter_test_like,34.276276,34.02172,False,False,False,False,False,,,,False,False,False,False,False,,,,35.0,True,32.3,55.0,32.17857142857143
16,3,2023-01-13,2023-01-10,development,direct,winter_test_like,38.963406,35.161312,False,False,False,False,False,,,,False,False,False,False,False,,,,29.0,True,57.3,50.0,70.89285714285714
17,3,2023-01-13,2023-01-10,development,direct,winter_test_like,16.063057,15.211754,False,False,False,False,False,,,,False,False,False,False,False,,,,10.0,True,9.9,10.0,17.392857142857142
18,3,2023-01-13,2023-01-10,development,direct,winter_test_like,16.893045,15.62393,False,False,False,False,False,,,,False,False,False,False,False,,,,18.0,True,28.7,46.0,35.285714285714285
19,3,2023-01-13,2023-01-10,development,direct,winter_test_like,44.10494,43.70922,False,False,False,False,False,,,,False,False,False,False,False,,,,47.0,True,33.8,74.0,38.607142857142854
20,3,2023-01-13,2023-01-10,development,direct,winter_test_like,35.7819,35.326427,False,False,False,False,False,,,,False,False,False,False,False,,,,15.0,True,43.2,62.0,40.5
21,3,2023-01-13,2023-01-10,development,direct,winter_test_like,21.35157,21.484749,False,False,False,False,False,,,,False,False,False,False,False,,,,24.0,True,15.1,18.0,20.5
22,3,2023-01-13,2023-01-10,development,direct,winter_test_like,4.965827,6.4187984,False,False,False,False,False,,,,False,False,False,False,False,,,,3.0,True,6.4,1.0,17.428571428571427
23,3,2023-01-13,2023-01-10,development,direct,winter_test_like,30.542917,29.709085,False,False,False,False,False,,,,False,False,False,False,False,,,,28.0,True,31.1,56.0,37.785714285714285
24,3,2023-01-13,2023-01-10,development,direct,winter_test_like,3.4308765,8.661988,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,,,
25,3,2023-01-13,2023-01-10,development,direct,winter_test_like,23.296616,22.643423,False,False,False,False,False,,,,False,False,False,False,False,,,,23.0,True,19.0,33.0,30.678571428571427
26,3,2023-01-13,2023-01-10,development,direct,winter_test_like,2.1547112,2.2273371,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,13.0,13.0,5.454545454545454
27,3,2023-01-13,2023-01-10,development,direct,winter_test_like,17.034187,13.4832325,False,False,False,False,False,,,,False,False,False,False,False,,,,3.0,True,20.0,23.0,26.416666666666668
28,3,2023-01-13,2023-01-10,development,direct,winter_test_like,11.825614,11.98831,False,False,False,False,False,,,,False,False,False,False,False,,,,23.0,True,3.5,6.0,5.107142857142857
1,4,2023-01-14,2023-01-10,development,direct,winter_test_like,38.529594,32.394733,False,False,False,False,False,,,,False,False,False,False,False,,,,23.0,True,46.2,51.0,81.92857142857143
2,4,2023-01-14,2023-01-10,development,direct,winter_test_like,39.59889,36.293816,False,False,False,False,False,,,,False,False,False,False,False,,,,41.0,True,46.5,75.0,67.25
3,4,2023-01-14,2023-01-10,development,direct,winter_test_like,8.492012,9.682288,False,False,False,False,False,,,,False,False,False,False,False,,,,6.0,True,20.0,15.0,54.67857142857143
4,4,2023-01-14,2023-01-10,development,direct,winter_test_like,41.718735,40.768475,False,False,False,False,False,,,,False,False,False,False,False,,,,34.0,True,46.7,55.0,95.82142857142857
5,4,2023-01-14,2023-01-10,development,direct,winter_test_like,51.610683,50.847153,False,False,False,False,False,,,,False,False,False,False,False,,,,67.0,True,67.7,108.0,116.03571428571429
6,4,2023-01-14,2023-01-10,development,direct,winter_test_like,10.887318,13.559512,False,False,False,False,False,,,,False,False,False,False,False,,,,18.0,True,9.4,12.0,17.0
7,4,2023-01-14,2023-01-10,development,direct,winter_test_like,6.9381514,6.8962784,False,False,False,False,False,,,,False,False,False,False,False,,,,10.0,True,7.0,11.0,14.892857142857142
8,4,2023-01-14,2023-01-10,development,direct,winter_test_like,10.755591,13.038408,False,False,False,False,False,,,,False,False,False,False,False,,,,13.0,True,8.9,15.0,20.821428571428573
9,4,2023-01-14,2023-01-10,development,direct,winter_test_like,21.646523,22.596506,False,False,False,False,False,,,,False,False,False,False,False,,,,34.0,True,22.3,38.0,38.392857142857146
10,4,2023-01-14,2023-01-10,development,direct,winter_test_like,30.783571,26.919235,False,False,False,False,False,,,,False,False,False,False,False,,,,36.0,True,23.0,45.0,32.142857142857146
11,4,2023-01-14,2023-01-10,development,direct,winter_test_like,27.748108,25.300123,False,False,False,False,False,,,,False,False,False,False,False,,,,24.0,True,26.0,24.0,74.64285714285714
12,4,2023-01-14,2023-01-10,development,direct,winter_test_like,14.618549,12.530733,False,False,False,False,False,,,,False,False,False,False,False,,,,13.0,True,22.9,37.0,26.785714285714285
13,4,2023-01-14,2023-01-10,development,direct,winter_test_like,28.261183,25.397339,False,False,False,False,False,,,,False,False,False,False,False,,,,30.0,True,26.9,38.0,40.42857142857143
14,4,2023-01-14,2023-01-10,development,direct,winter_test_like,24.412987,23.37876,False,False,False,False,False,,,,False,False,False,False,False,,,,23.0,True,19.5,40.0,24.607142857142858
15,4,2023-01-14,2023-01-10,development,direct,winter_test_like,28.333866,30.699604,False,False,False,False,False,,,,False,False,False,False,False,,,,35.0,True,15.0,24.0,32.17857142857143
16,4,2023-01-14,2023-01-10,development,direct,winter_test_like,28.783825,26.5346,False,False,False,False,False,,,,False,False,False,False,False,,,,24.0,True,39.1,46.0,70.89285714285714
17,4,2023-01-14,2023-01-10,development,direct,winter_test_like,13.411132,12.781203,False,False,False,False,False,,,,False,False,False,False,False,,,,17.0,True,10.5,15.0,17.392857142857142
18,4,2023-01-14,2023-01-10,development,direct,winter_test_like,14.128936,14.087587,False,False,False,False,False,,,,False,False,False,False,False,,,,13.0,True,23.2,35.0,35.285714285714285
19,4,2023-01-14,2023-01-10,development,direct,winter_test_like,31.402681,35.545116,False,False,False,False,False,,,,False,False,False,False,False,,,,44.0,True,28.5,66.0,38.607142857142854
20,4,2023-01-14,2023-01-10,development,direct,winter_test_like,21.111858,23.171806,False,False,False,False,False,,,,False,False,False,False,False,,,,11.0,True,23.1,35.0,40.5
21,4,2023-01-14,2023-01-10,development,direct,winter_test_like,18.265673,17.878237,False,False,False,False,False,,,,False,False,False,False,False,,,,16.0,True,12.1,17.0,20.5
22,4,2023-01-14,2023-01-10,development,direct,winter_test_like,4.0859156,5.8249073,False,False,False,False,False,,,,False,False,False,False,False,,,,1.0,True,5.5,2.0,17.428571428571427
23,4,2023-01-14,2023-01-10,development,direct,winter_test_like,23.365936,24.492628,False,False,False,False,False,,,,False,False,False,False,False,,,,18.0,True,25.7,45.0,37.785714285714285
24,4,2023-01-14,2023-01-10,development,direct,winter_test_like,3.379619,8.613694,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,,,
25,4,2023-01-14,2023-01-10,development,direct,winter_test_like,22.658543,22.21254,False,False,False,False,False,,,,False,False,False,False,False,,,,15.0,True,23.0,31.0,30.678571428571427
26,4,2023-01-14,2023-01-10,development,direct,winter_test_like,1.3202991,1.85126,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,9.0,9.0,5.454545454545454
27,4,2023-01-14,2023-01-10,development,direct,winter_test_like,13.184062,10.983996,False,False,False,False,False,,,,False,False,False,False,False,,,,5.0,True,19.444444444444443,23.0,26.416666666666668
28,4,2023-01-14,2023-01-10,development,direct,winter_test_like,10.228027,10.349196,False,False,False,False,False,,,,False,False,False,False,False,,,,11.0,True,5.8,12.0,5.107142857142857
1,5,2023-01-15,2023-01-10,development,direct,winter_test_like,49.492535,48.27892,False,False,False,False,False,,,,False,False,False,False,False,,,,39.0,True,56.7,65.0,81.92857142857143
2,5,2023-01-15,2023-01-10,development,direct,winter_test_like,50.07613,45.710606,False,False,False,False,False,,,,False,False,False,False,False,,,,53.0,True,60.1,98.0,67.25
3,5,2023-01-15,2023-01-10,development,direct,winter_test_like,11.712123,14.193966,False,False,False,False,False,,,,False,False,False,False,False,,,,7.0,True,30.2,14.0,54.67857142857143
4,5,2023-01-15,2023-01-10,development,direct,winter_test_like,59.78763,57.283764,False,False,False,False,False,,,,False,False,False,False,False,,,,38.0,True,75.6,98.0,95.82142857142857
5,5,2023-01-15,2023-01-10,development,direct,winter_test_like,75.98521,78.68085,False,False,False,False,False,,,,False,False,False,False,False,,,,93.0,True,115.7,167.0,116.03571428571429
6,5,2023-01-15,2023-01-10,development,direct,winter_test_like,18.32287,17.105677,False,False,False,False,False,,,,False,False,False,False,False,,,,30.0,True,22.8,38.0,17.0
7,5,2023-01-15,2023-01-10,development,direct,winter_test_like,11.5318575,11.5823765,False,False,False,False,False,,,,False,False,False,False,False,,,,20.0,True,16.2,26.0,14.892857142857142
8,5,2023-01-15,2023-01-10,development,direct,winter_test_like,18.526411,20.739397,False,False,False,False,False,,,,False,False,False,False,False,,,,17.0,True,20.1,31.0,20.821428571428573
9,5,2023-01-15,2023-01-10,development,direct,winter_test_like,30.707247,28.28311,False,False,False,False,False,,,,False,False,False,False,False,,,,38.0,True,42.0,63.0,38.392857142857146
10,5,2023-01-15,2023-01-10,development,direct,winter_test_like,39.59598,39.865757,False,False,False,False,False,,,,False,False,False,False,False,,,,48.0,True,42.5,86.0,32.142857142857146
11,5,2023-01-15,2023-01-10,development,direct,winter_test_like,38.061424,32.379047,False,False,False,False,False,,,,False,False,False,False,False,,,,20.0,True,38.6,39.0,74.64285714285714
12,5,2023-01-15,2023-01-10,development,direct,winter_test_like,21.576624,20.191488,False,False,False,False,False,,,,False,False,False,False,False,,,,27.0,True,31.5,47.0,26.785714285714285
13,5,2023-01-15,2023-01-10,development,direct,winter_test_like,42.089905,40.309795,False,False,False,False,False,,,,False,False,False,False,False,,,,38.0,True,55.4,77.0,40.42857142857143
14,5,2023-01-15,2023-01-10,development,direct,winter_test_like,47.555744,43.548664,False,False,False,False,False,,,,False,False,False,False,False,,,,45.0,True,42.2,73.0,24.607142857142858
15,5,2023-01-15,2023-01-10,development,direct,winter_test_like,40.79722,39.141808,False,False,False,False,False,,,,False,False,False,False,False,,,,51.0,True,42.5,80.0,32.17857142857143
16,5,2023-01-15,2023-01-10,development,direct,winter_test_like,41.984646,37.60664,False,False,False,False,False,,,,False,False,False,False,False,,,,51.0,True,63.9,72.0,70.89285714285714
17,5,2023-01-15,2023-01-10,development,direct,winter_test_like,19.964958,22.388044,False,False,False,False,False,,,,False,False,False,False,False,,,,33.0,True,20.2,24.0,17.392857142857142
18,5,2023-01-15,2023-01-10,development,direct,winter_test_like,24.41981,23.447327,False,False,False,False,False,,,,False,False,False,False,False,,,,30.0,True,55.6,83.0,35.285714285714285
19,5,2023-01-15,2023-01-10,development,direct,winter_test_like,61.621628,63.881832,False,False,False,False,False,,,,False,False,False,False,False,,,,59.0,True,72.7,176.0,38.607142857142854
20,5,2023-01-15,2023-01-10,development,direct,winter_test_like,35.147373,35.970123,False,False,False,False,False,,,,False,False,False,False,False,,,,46.0,True,43.3,58.0,40.5
21,5,2023-01-15,2023-01-10,development,direct,winter_test_like,26.401384,25.125294,False,False,False,False,False,,,,False,False,False,False,False,,,,41.0,True,22.7,33.0,20.5
22,5,2023-01-15,2023-01-10,development,direct,winter_test_like,3.1936917,5.2121263,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,True,9.7,0.0,17.428571428571427
23,5,2023-01-15,2023-01-10,development,direct,winter_test_like,33.530018,35.77655,False,False,False,False,False,,,,False,False,False,False,False,,,,27.0,True,40.8,73.0,37.785714285714285
24,5,2023-01-15,2023-01-10,development,direct,winter_test_like,2.910303,8.809394,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,,,
25,5,2023-01-15,2023-01-10,development,direct,winter_test_like,31.874073,30.10292,False,False,False,False,False,,,,False,False,False,False,False,,,,30.0,True,30.9,41.0,30.678571428571427
26,5,2023-01-15,2023-01-10,development,direct,winter_test_like,1.6597264,2.4216344,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,False,0.0,0.0,5.454545454545454
27,5,2023-01-15,2023-01-10,development,direct,winter_test_like,20.965012,21.213627,False,False,False,False,False,,,,False,False,False,False,False,,,,1.0,True,35.333333333333336,42.0,26.416666666666668
28,5,2023-01-15,2023-01-10,development,direct,winter_test_like,15.730127,14.004636,False,False,False,False,False,,,,False,False,False,False,False,,,,25.0,True,5.9,8.0,5.107142857142857
1,6,2023-01-16,2023-01-10,development,direct,winter_test_like,48.876827,47.398903,False,False,False,False,False,,,,False,False,False,False,False,,,,47.0,True,58.2,50.0,81.92857142857143
2,6,2023-01-16,2023-01-10,development,direct,winter_test_like,46.34912,47.647255,False,False,False,False,False,,,,False,False,False,False,False,,,,41.0,True,66.3,58.0,67.25
3,6,2023-01-16,2023-01-10,development,direct,winter_test_like,24.719988,26.250746,False,False,False,False,False,,,,False,False,False,False,False,,,,30.0,True,30.0,10.0,54.67857142857143
4,6,2023-01-16,2023-01-10,development,direct,winter_test_like,33.200512,29.670685,False,False,False,False,False,,,,False,False,False,False,False,,,,11.0,True,79.1,77.0,95.82142857142857
5,6,2023-01-16,2023-01-10,development,direct,winter_test_like,104.73446,101.556915,False,False,False,False,False,,,,False,False,False,False,False,,,,86.0,True,132.4,95.0,116.03571428571429
6,6,2023-01-16,2023-01-10,development,direct,winter_test_like,17.2216,16.2711,False,False,False,False,False,,,,False,False,False,False,False,,,,18.0,True,22.1,23.0,17.0
7,6,2023-01-16,2023-01-10,development,direct,winter_test_like,20.039185,20.597092,False,False,False,False,False,,,,False,False,False,False,False,,,,36.0,True,16.1,11.0,14.892857142857142
8,6,2023-01-16,2023-01-10,development,direct,winter_test_like,33.512188,39.391872,False,False,False,False,False,,,,False,False,False,False,False,,,,35.0,True,29.8,19.0,20.821428571428573
9,6,2023-01-16,2023-01-10,development,direct,winter_test_like,33.480366,28.646763,False,False,False,False,False,,,,False,False,False,False,False,,,,51.0,True,58.6,36.0,38.392857142857146
10,6,2023-01-16,2023-01-10,development,direct,winter_test_like,27.013704,24.56206,False,False,False,False,False,,,,False,False,False,False,False,,,,31.0,True,47.1,40.0,32.142857142857146
11,6,2023-01-16,2023-01-10,development,direct,winter_test_like,47.722385,42.594276,False,False,False,False,False,,,,False,False,False,False,False,,,,33.0,True,59.2,43.0,74.64285714285714
12,6,2023-01-16,2023-01-10,development,direct,winter_test_like,20.062227,18.349411,False,False,False,False,False,,,,False,False,False,False,False,,,,22.0,True,30.5,28.0,26.785714285714285
13,6,2023-01-16,2023-01-10,development,direct,winter_test_like,46.213478,43.186127,False,False,False,False,False,,,,False,False,False,False,False,,,,47.0,True,47.3,42.0,40.42857142857143
