origin,n,WAPE,prediction_max,observed_max,prediction_to_observed_max_ratio,residual_guard_count,residual_nonfinite_count,catastrophic_guard_count,fallback_count,residual_raw_min,residual_raw_max,passed
2023-07-01,210,0.5468633602435213,137.13480376341897,84.0,1.6325571876597498,0,0,0,0,-1.0373965501785278,2.3787848949432373,True
2024-06-20,210,0.27109019430017256,126.32496150069079,152.0,0.8310852730308604,0,0,0,0,-0.7663618922233582,1.117046594619751,True
2024-11-29,210,0.36538430302127417,279.49378250833615,361.0,0.7742210041782165,0,0,0,0,-0.7142038941383362,1.286452293395996,True
2025-02-10,209,0.3171408689141824,156.45701710382946,131.0,1.1943283748383928,0,0,0,0,-1.8506815433502197,1.1090763807296753,True
