DateKey,systemic_autoencoder_score,systemic_autoencoder_flag,autoencoder_split
2021-01-28,0.3558572,False,train
2021-01-29,0.30058566,False,train
2021-01-30,0.27301624,False,train
2021-01-31,0.24329202,False,train
2021-02-01,0.23909687,False,train
2021-02-02,0.2311345,False,train
2021-02-03,0.23214246,False,train
2021-02-04,0.22569774,False,train
2021-02-05,0.21155548,False,train
2021-02-06,0.22907989,False,train
2021-02-07,0.2295255,False,train
2021-02-08,0.24052936,False,train
2021-02-09,0.2540998,False,train
2021-02-10,0.2602567,False,train
2021-02-11,0.2603875,False,train
2021-02-12,0.27042857,False,train
2021-02-13,0.28820845,False,train
2021-02-14,0.30031517,False,train
2021-02-15,0.3062879,False,train
2021-02-16,0.3216629,False,train
2021-02-17,0.3346787,False,train
2021-02-18,0.3370267,False,train
2021-02-19,0.34423113,False,train
2021-02-20,0.35452932,False,train
2021-02-21,0.34687918,False,train
2021-02-22,0.3379404,False,train
2021-02-23,0.33438614,False,train
2021-02-24,0.32744685,False,train
2021-02-25,0.31410432,False,train
2021-02-26,0.3182655,False,train
2021-02-27,0.31443688,False,train
2021-02-28,0.32491913,False,train
2021-03-01,0.32750866,False,train
2021-03-02,0.33283836,False,train
2021-03-03,0.3424806,False,train
2021-03-04,0.3256091,False,train
2021-03-05,0.33923852,False,train
2021-03-06,0.34939852,False,train
2021-03-07,0.35063994,False,train
2021-03-08,0.3617257,False,train
2021-03-09,0.34922817,False,train
2021-03-10,0.3496986,False,train
2021-03-11,0.35203612,False,train
2021-03-12,0.3574824,False,train
2021-03-13,0.34448683,False,train
2021-03-14,0.35581055,False,train
2021-03-15,0.3433781,False,train
2021-03-16,0.34284613,False,train
2021-03-17,0.35327777,False,train
2021-03-18,0.33497018,False,train
2021-03-19,0.34020874,False,train
2021-03-20,0.32122552,False,train
2021-03-21,0.2963804,False,train
2021-03-22,0.29248187,False,train
2021-03-23,0.29558912,False,train
2021-03-24,0.29337844,False,train
2021-03-25,0.28002277,False,train
2021-03-26,0.28185377,False,train
2021-03-27,0.27747944,False,train
2021-03-28,0.2626339,False,train
2021-03-29,0.25847587,False,train
2021-03-30,0.24549055,False,train
2021-03-31,0.25284764,False,train
2021-04-01,0.2554757,False,train
2021-04-02,0.26788282,False,train
2021-04-03,0.26703003,False,train
2021-04-04,0.266168,False,train
2021-04-05,0.27396876,False,train
2021-04-06,0.27932462,False,train
2021-04-07,0.27524838,False,train
2021-04-08,0.27526748,False,train
2021-04-09,0.26523054,False,train
2021-04-10,0.27520484,False,train
2021-04-11,0.27980375,False,train
2021-04-12,0.28049463,False,train
2021-04-13,0.2742718,False,train
2021-04-14,0.25721246,False,train
2021-04-15,0.24784046,False,train
2021-04-16,0.25583372,False,train
2021-04-17,0.2539719,False,train
2021-04-18,0.2601304,False,train
2021-04-19,0.26523066,False,train
2021-04-20,0.25941554,False,train
2021-04-21,0.25356108,False,train
2021-04-22,0.24661902,False,train
2021-04-23,0.25177512,False,train
2021-04-24,0.25477272,False,train
2021-04-25,0.25336346,False,train
2021-04-26,0.25448576,False,train
2021-04-27,0.25452948,False,train
2021-04-28,0.24517782,False,train
2021-04-29,0.24098584,False,train
2021-04-30,0.2514868,False,train
2021-05-01,0.23870924,False,train
2021-05-02,0.24879995,False,train
2021-05-03,0.24385549,False,train
2021-05-04,0.24310102,False,train
2021-05-05,0.25913674,False,train
2021-05-06,0.23150162,False,train
2021-05-07,0.2465618,False,train
2021-05-08,0.24273464,False,train
2021-05-09,0.23874508,False,train
2021-05-10,0.23220144,False,train
2021-05-11,0.26415896,False,train
2021-05-12,0.25121152,False,train
2021-05-13,0.24821581,False,train
2021-05-14,0.26548514,False,train
2021-05-15,0.2629613,False,train
2021-05-16,0.24164261,False,train
2021-05-17,0.23757742,False,train
2021-05-18,0.24594246,False,train
2021-05-19,0.2333053,False,train
2021-05-20,0.23048282,False,train
2021-05-21,0.23569256,False,train
2021-05-22,0.23215604,False,train
2021-05-23,0.24286321,False,train
2021-05-24,0.2525666,False,train
2021-05-25,0.25631663,False,train
2021-05-26,0.27158192,False,train
2021-05-27,0.2681095,False,train
2021-05-28,0.26452127,False,train
2021-05-29,0.26269633,False,train
2021-05-30,0.27126864,False,train
2021-05-31,0.2829245,False,train
2021-06-01,0.29268652,False,train
2021-06-02,0.31130502,False,train
2021-06-03,0.3018575,False,train
2021-06-04,0.30444086,False,train
2021-06-05,0.31190023,False,train
2021-06-06,0.32564378,False,train
2021-06-07,0.3048535,False,train
2021-06-08,0.29830086,False,train
2021-06-09,0.2790328,False,train
2021-06-10,0.2713422,False,train
2021-06-11,0.27680665,False,train
2021-06-12,0.27039614,False,train
2021-06-13,0.26482546,False,train
2021-06-14,0.25230274,False,train
2021-06-15,0.26484665,False,train
2021-06-16,0.2629697,False,train
2021-06-17,0.26605517,False,train
2021-06-18,0.2824572,False,train
2021-06-19,0.27620503,False,train
2021-06-20,0.28144228,False,train
2021-06-21,0.28352416,False,train
2021-06-22,0.29284346,False,train
2021-06-23,0.30764255,False,train
2021-06-24,0.29624718,False,train
2021-06-25,0.31325194,False,train
2021-06-26,0.2899128,False,train
2021-06-27,0.2809315,False,train
2021-06-28,0.26308197,False,train
2021-06-29,0.26105368,False,train
2021-06-30,0.26357466,False,train
2021-07-01,0.26316127,False,train
2021-07-02,0.26799753,False,train
2021-07-03,0.26507226,False,train
2021-07-04,0.25996566,False,train
2021-07-05,0.25258917,False,train
2021-07-06,0.2498394,False,train
2021-07-07,0.26593378,False,train
2021-07-08,0.27489102,False,train
2021-07-09,0.28994772,False,train
2021-07-10,0.28634098,False,train
2021-07-11,0.2957012,False,train
2021-07-12,0.31124112,False,train
2021-07-13,0.3228952,False,train
2021-07-14,0.32860005,False,train
2021-07-15,0.29916072,False,train
2021-07-16,0.295346,False,train
2021-07-17,0.2778536,False,train
2021-07-18,0.2571875,False,train
2021-07-19,0.27712977,False,train
2021-07-20,0.28214532,False,train
2021-07-21,0.2833822,False,train
2021-07-22,0.2925153,False,train
2021-07-23,0.29321855,False,train
2021-07-24,0.32707694,False,train
2021-07-25,0.3144538,False,train
2021-07-26,0.30459565,False,train
2021-07-27,0.31373796,False,train
2021-07-28,0.3400741,False,train
2021-07-29,0.33058414,False,train
2021-07-30,0.3097101,False,train
2021-07-31,0.31243095,False,train
2021-08-01,0.31351715,False,train
2021-08-02,0.27996093,False,train
2021-08-03,0.28862244,False,train
2021-08-04,0.30206305,False,train
2021-08-05,0.31737334,False,train
2021-08-06,0.33559132,False,train
2021-08-07,0.33698854,False,train
2021-08-08,0.32847705,False,train
2021-08-09,0.337511,False,train
2021-08-10,0.35029566,False,train
2021-08-11,0.3397729,False,train
2021-08-12,0.3555462,False,train
2021-08-13,0.37086815,False,train
2021-08-14,0.3681803,False,train
2021-08-15,0.334363,False,train
2021-08-16,0.32948008,False,train
2021-08-17,0.3264434,False,train
2021-08-18,0.30734164,False,train
2021-08-19,0.29178444,False,train
2021-08-20,0.28714153,False,train
2021-08-21,0.31609794,False,train
2021-08-22,0.2998454,False,train
2021-08-23,0.29543525,False,train
2021-08-24,0.29484308,False,train
2021-08-25,0.30024567,False,train
2021-08-26,0.2984313,False,train
2021-08-27,0.29830512,False,train
2021-08-28,0.30910504,False,train
2021-08-29,0.2945336,False,train
2021-08-30,0.28894547,False,train
2021-08-31,0.29031113,False,train
2021-09-01,0.2985102,False,train
2021-09-02,0.29522756,False,train
2021-09-03,0.29998758,False,train
2021-09-04,0.30089086,False,train
2021-09-05,0.29247403,False,train
2021-09-06,0.28481075,False,train
2021-09-07,0.29265577,False,train
2021-09-08,0.28232524,False,train
2021-09-09,0.28253385,False,train
2021-09-10,0.2869447,False,train
2021-09-11,0.2940744,False,train
2021-09-12,0.28883997,False,train
2021-09-13,0.2841433,False,train
2021-09-14,0.27919677,False,train
2021-09-15,0.27087805,False,train
2021-09-16,0.2689861,False,train
2021-09-17,0.27559978,False,train
2021-09-18,0.24957953,False,train
2021-09-19,0.25352904,False,train
2021-09-20,0.26523194,False,train
2021-09-21,0.27272007,False,train
2021-09-22,0.27831987,False,train
2021-09-23,0.28447253,False,train
2021-09-24,0.28952608,False,train
2021-09-25,0.28315955,False,train
2021-09-26,0.29282328,False,train
2021-09-27,0.2861452,False,train
2021-09-28,0.29190582,False,train
2021-09-29,0.2817098,False,train
2021-09-30,0.2568126,False,train
2021-10-01,0.2544163,False,train
2021-10-02,0.23817247,False,train
2021-10-03,0.23935221,False,train
2021-10-04,0.2558942,False,train
2021-10-05,0.27595615,False,train
2021-10-06,0.278822,False,train
2021-10-07,0.28039953,False,train
2021-10-08,0.26856732,False,train
2021-10-09,0.29282334,False,train
2021-10-10,0.29447114,False,train
2021-10-11,0.30414206,False,train
2021-10-12,0.3068706,False,train
2021-10-13,0.29474792,False,train
2021-10-14,0.2857981,False,train
2021-10-15,0.27177835,False,train
2021-10-16,0.27691084,False,train
2021-10-17,0.26690733,False,train
2021-10-18,0.25437698,False,train
